,mof,conc,p,ad,q,std,heat,status,coul,vdw
133,KIYMAI_clean_min_charges,0_0.06,750000,ethene,0.3045644372,0.0070079314,-25.913,finished,0.00000,-18633.911394
134,KIYMAI_clean_min_charges,0_0.06,1000000,ethene,0.3262927367,0.008654732,-25.79336,finished,0.00000,-20529.200011
135,KIYMAI_clean_min_charges,0_0.06,1,ethane,3.3649e-06,2.7557e-06,-28.23938,finished,0.00000,-0.205510
136,KIYMAI_clean_min_charges,0_0.06,10,ethane,2.5644e-05,6.7728e-06,-28.58709,finished,0.00000,-1.604028
137,KIYMAI_clean_min_charges,0_0.06,100,ethane,0.0002471545,1.58289e-05,-28.6504,finished,0.00000,-15.587669
138,KIYMAI_clean_min_charges,0_0.06,1000,ethane,0.002484563,4.67747e-05,-28.78822,finished,0.00000,-157.383601
139,KIYMAI_clean_min_charges,0_0.06,5000,ethane,0.012364347,0.0004010875,-28.78966,finished,0.00000,-783.978698
140,KIYMAI_clean_min_charges,0_0.06,10000,ethane,0.0239762181,0.0005655376,-28.84542,finished,0.00000,-1520.956514
141,KIYMAI_clean_min_charges,0_0.06,25000,ethane,0.0544541925,0.0008672532,-28.835,finished,0.00000,-3456.499373
142,KIYMAI_clean_min_charges,0_0.06,50000,ethane,0.0936641554,0.0027699103,-28.90739,finished,0.00000,-5960.954260
143,KIYMAI_clean_min_charges,0_0.06,66700,ethane,0.1149281885,0.0029236962,-29.02117,finished,0.00000,-7329.976694
144,KIYMAI_clean_min_charges,0_0.06,75000,ethane,0.1248542663,0.0024500313,-29.05452,finished,0.00000,-7965.329751
145,KIYMAI_clean_min_charges,0_0.06,100000,ethane,0.1505551481,0.0039122768,-29.05008,finished,0.00000,-9629.815034
146,KIYMAI_clean_min_charges,0_0.06,250000,ethane,0.242847579,0.0040552026,-29.26858,finished,0.00000,-15752.587225
147,KIYMAI_clean_min_charges,0_0.06,500000,ethane,0.3114203024,0.004805384,-29.28209,finished,0.00000,-20696.522069
148,KIYMAI_clean_min_charges,0_0.06,750000,ethane,0.3456201831,0.0066200264,-29.14733,finished,0.00000,-23586.469816
149,KIYMAI_clean_min_charges,0_0.06,1000000,ethane,0.3629472492,0.0051260711,-29.20622,finished,0.00000,-25458.071719
150,COGWEB_clean_min_charges,0_0.02,1,ethene,5.9547e-05,2.9739e-06,-20.63119,finished,0.00000,-3.473755
151,COGWEB_clean_min_charges,0_0.02,10,ethene,0.0006000402,1.24858e-05,-20.37433,finished,0.00000,-34.647853
152,COGWEB_clean_min_charges,0_0.02,100,ethene,0.0059942276,4.72556e-05,-20.40961,finished,0.00000,-346.259684
153,COGWEB_clean_min_charges,0_0.02,1000,ethene,0.0598216655,0.0002370181,-20.45275,finished,0.00000,-3453.484266
154,COGWEB_clean_min_charges,0_0.02,5000,ethene,0.2964013203,0.0015518919,-20.63077,finished,0.00000,-17100.861336
155,COGWEB_clean_min_charges,0_0.02,10000,ethene,0.5807615627,0.0021292011,-20.84519,finished,0.00000,-33491.099835
156,COGWEB_clean_min_charges,0_0.02,25000,ethene,1.3384249132,0.0055473573,-21.32791,finished,0.00000,-77016.923762
157,COGWEB_clean_min_charges,0_0.02,50000,ethene,2.3984500148,0.0051910917,-21.93344,finished,0.00000,-137582.078858
158,COGWEB_clean_min_charges,0_0.02,66700,ethene,2.9431489778,0.0065800821,-22.20107,finished,0.00000,-168444.220955
159,COGWEB_clean_min_charges,0_0.02,75000,ethene,3.1707791338,0.0054052463,-22.31826,finished,0.00000,-181276.769969
160,COGWEB_clean_min_charges,0_0.02,100000,ethene,3.7484481118,0.0081738837,-22.50866,finished,0.00000,-213695.544171
161,COGWEB_clean_min_charges,0_0.02,250000,ethene,5.4364423476,0.0060688246,-23.06315,finished,0.00000,-306743.976836
162,COGWEB_clean_min_charges,0_0.02,500000,ethene,6.3739638203,0.0,,run,,
163,COGWEB_clean_min_charges,0_0.02,750000,ethene,6.768115171,0.0,,run,,
164,COGWEB_clean_min_charges,0_0.02,1000000,ethene,6.9805432314,0.0,,run,,
165,COGWEB_clean_min_charges,0_0.02,1,ethane,0.0001859152,1.05207e-05,-23.97268,finished,0.00000,-12.688002
166,COGWEB_clean_min_charges,0_0.02,10,ethane,0.0018555436,3.57824e-05,-23.87309,finished,0.00000,-126.176993
167,COGWEB_clean_min_charges,0_0.02,100,ethane,0.0186827663,4.31508e-05,-23.92189,finished,0.00000,-1271.345854
168,COGWEB_clean_min_charges,0_0.02,1000,ethane,0.1864731533,0.0009411941,-24.10299,finished,0.00000,-12678.705986
169,COGWEB_clean_min_charges,0_0.02,5000,ethane,0.8997134951,0.0046928428,-24.86139,finished,0.00000,-61075.200662
170,COGWEB_clean_min_charges,0_0.02,10000,ethane,1.7274582873,0.0044887457,-25.62475,finished,0.00000,-117047.065742
171,COGWEB_clean_min_charges,0_0.02,25000,ethane,3.4116988256,0.0082984093,-26.72442,finished,0.00000,-229599.098793
172,COGWEB_clean_min_charges,0_0.02,50000,ethane,4.7313593878,0.004938711,-27.23004,finished,0.00000,-315156.145452
173,COGWEB_clean_min_charges,0_0.02,66700,ethane,5.2140300751,0.0044267122,-27.36995,finished,0.00000,-345546.563878
174,COGWEB_clean_min_charges,0_0.02,75000,ethane,5.3896814093,0.0073806314,-27.57695,finished,0.00000,-356485.543722
175,COGWEB_clean_min_charges,0_0.02,100000,ethane,5.7992768916,0.0063780566,-27.93134,finished,0.00000,-381992.205334
176,COGWEB_clean_min_charges,0_0.02,250000,ethane,6.701219582,0.0,,run,,
177,COGWEB_clean_min_charges,0_0.02,500000,ethane,7.119803516,0.0,,run,,
178,COGWEB_clean_min_charges,0_0.02,750000,ethane,7.2747234153,0.0,,run,,
179,COGWEB_clean_min_charges,0_0.02,1000000,ethane,7.3602443787,0.0,,run,,
180,COGWEB_clean_min_charges,0_0.16,1,ethene,2.90302e-05,4.5674e-06,-17.98437,finished,0.00000,-0.787313
181,COGWEB_clean_min_charges,0_0.16,10,ethene,0.0003182152,1.89274e-05,-17.98807,finished,0.00000,-8.665749
182,COGWEB_clean_min_charges,0_0.16,100,ethene,0.0031157286,4.00831e-05,-17.93829,finished,0.00000,-84.807866
183,COGWEB_clean_min_charges,0_0.16,1000,ethene,0.0312074174,9.63683e-05,-17.90116,finished,0.00000,-847.410184
184,COGWEB_clean_min_charges,0_0.16,5000,ethene,0.1559446543,0.0010561984,-17.91083,finished,0.00000,-4223.898455
185,COGWEB_clean_min_charges,0_0.16,10000,ethene,0.3087703666,0.0008754506,-17.92972,finished,0.00000,-8336.367282
186,COGWEB_clean_min_charges,0_0.16,25000,ethene,0.742984257,0.0050027586,-17.93589,finished,0.00000,-19888.744548
187,COGWEB_clean_min_charges,0_0.16,50000,ethene,1.3986068347,0.0054102359,-17.94486,finished,0.00000,-36975.961942
188,COGWEB_clean_min_charges,0_0.16,66700,ethene,1.7853396223,0.0100225958,-17.95607,finished,0.00000,-46854.948549
189,COGWEB_clean_min_charges,0_0.16,75000,ethene,1.9895148336,0.0088306058,-18.01542,finished,0.00000,-52009.660322
190,COGWEB_clean_min_charges,0_0.16,100000,ethene,2.5759209494,0.0076545731,-18.14067,finished,0.00000,-66691.260283
191,COGWEB_clean_min_charges,0_0.16,250000,ethene,5.4937359663,0.0196999704,-19.26614,finished,0.00000,-136861.711138
192,COGWEB_clean_min_charges,0_0.16,500000,ethene,7.9820444863,0.0078572113,-20.70641,finished,0.00000,-195219.107708
193,COGWEB_clean_min_charges,0_0.16,750000,ethene,9.1063286458,0.0036738714,-21.62891,finished,0.00000,-222379.773923
194,COGWEB_clean_min_charges,0_0.16,1000000,ethene,9.7264615745,0.0169083213,-22.14194,finished,0.00000,-238397.884545
195,COGWEB_clean_min_charges,0_0.16,1,ethane,8.17216e-05,1.44285e-05,-21.30151,finished,0.00000,-2.638959
196,COGWEB_clean_min_charges,0_0.16,10,ethane,0.0008618469,2.21927e-05,-21.3961,finished,0.00000,-28.125261
197,COGWEB_clean_min_charges,0_0.16,100,ethane,0.0085154748,0.0001192781,-21.33028,finished,0.00000,-276.968466
198,COGWEB_clean_min_charges,0_0.16,1000,ethane,0.0850977005,0.0002363278,-21.38219,finished,0.00000,-2766.762046
199,COGWEB_clean_min_charges,0_0.16,5000,ethane,0.4113248756,0.0030240779,-21.38873,finished,0.00000,-13262.572559
200,COGWEB_clean_min_charges,0_0.16,10000,ethane,0.7942506836,0.0037561109,-21.36674,finished,0.00000,-25361.574115
201,COGWEB_clean_min_charges,0_0.16,25000,ethane,1.7971927861,0.0069137459,-21.29967,finished,0.00000,-55947.366557
202,COGWEB_clean_min_charges,0_0.16,50000,ethane,3.4543717603,0.0087474852,-21.81104,finished,0.00000,-103819.843179
203,COGWEB_clean_min_charges,0_0.16,66700,ethane,4.5082330252,0.0136558153,-22.39301,finished,0.00000,-133190.214518
204,COGWEB_clean_min_charges,0_0.16,75000,ethane,4.9668339085,0.0124162515,-22.64132,finished,0.00000,-145801.561546
205,COGWEB_clean_min_charges,0_0.16,100000,ethane,6.1621294919,0.0049420574,-23.46546,finished,0.00000,-178177.044218
206,COGWEB_clean_min_charges,0_0.16,250000,ethane,9.1119977584,0.0061610353,-26.1993,finished,0.00000,-257011.386378
207,COGWEB_clean_min_charges,0_0.16,500000,ethane,10.3766016099,0.0150840184,-27.79565,finished,0.00000,-292305.839252
208,COGWEB_clean_min_charges,0_0.16,750000,ethane,10.8592764049,0.0157846181,-28.44986,finished,0.00000,-307575.073822
209,COGWEB_clean_min_charges,0_0.16,1000000,ethane,11.1163667551,0.0161562827,-28.72281,finished,0.00000,-317028.648876
210,COGWEB_clean_min_charges,0_0.05,1,ethene,5.22694e-05,6.039e-06,-20.0277,finished,0.00000,-2.832625
211,COGWEB_clean_min_charges,0_0.05,10,ethene,0.0005427994,3.87366e-05,-20.16843,finished,0.00000,-29.755773
212,COGWEB_clean_min_charges,0_0.05,100,ethene,0.0053856146,8.92896e-05,-20.13073,finished,0.00000,-295.082356
213,COGWEB_clean_min_charges,0_0.05,1000,ethene,0.0534239107,0.0004507278,-20.19174,finished,0.00000,-2928.230492
214,COGWEB_clean_min_charges,0_0.05,5000,ethene,0.2651832516,0.0012110867,-20.34167,finished,0.00000,-14516.011692
