MOF,Eform,Efermi,K,G
QUJFUX,-0.52684605,-0.3373735,23.6129036479894,16.3107655844922
QUNMUI,0.20526922,-1.6512358,31.8218192910684,14.0404474395515
QUPHUF,-0.420691,-1.0856507,17.4795923325146,11.240658153426
QUQFIS,-0.5457272,-3.242617,37.4053560546691,16.8591798230795
QUQPIC,0.1328861,-3.3122923,34.9155348153771,9.15297248200076
QUQPOI,0.04156881,-2.4896266,41.8050334923271,14.1380046968727
QURSEC,-0.4493721,-1.2233918,21.0233851290928,12.4324149573959
QUVDUH,-1.3468015,-0.95164466,32.8354879429535,21.3456890567624
RABHAZ,-0.19483662,-2.4643657,21.0128677761421,8.44282762852636
RACZIG,-0.7038035,-0.14742231,27.056365306636,16.40743467219
RATDAS02,-1.3693596,-2.8858888,39.5450412077854,21.3315672755511
RAXCOK,-0.33496138,-1.571459,30.8426860424484,17.0867028585038
RAXDAX,-0.35874066,-0.48694873,18.9078368261281,9.8905685474163
RAZYIC,-0.08057204,0.10939717,18.7862075493288,10.5061011767047
RAZYOI,-0.15176003,-0.098474264,17.9036856052557,8.99972245759041
REDROI,-0.8320246,-1.3741558,35.8736327031772,17.0140156342926
REGLOG,-1.109711,-1.8287346,37.2218879194121,15.6426020236853
RELLAW,-0.33825237,-1.6212914,23.7777825174761,14.1976216977628
REYCOP,-0.31475282,-1.0769434,19.5027264501428,10.1405649258442
RIFDUG01,-0.7927967,-3.197862,42.0423197858309,19.3776852759503
RIPNIP,-1.0795175,-1.371412,25.3265072681717,13.9017128500345
RIVDEF,-0.57110184,-2.8946526,15.4565323511481,7.39511417128409
RUCGOM,-0.4801337,-0.52728105,15.5616008531547,13.2686705391177
RUFMUA,-1.0425994,-0.30178523,28.4787355208088,16.4597243498812
RUFMUA01,-1.0426507,-0.31320405,28.4284065572611,16.4443657269365
RUMWUS,-0.480381,-1.8987615,21.9781466514553,12.6921145544241
RURPEA,-0.027270634,-1.7481225,32.5025170699565,17.8061219555101
RURQEB,-0.59930474,-1.208771,27.2997941505633,16.239203813633
RUVMAX,-0.4673164,-1.5638163,29.0193135317996,15.8208334862826
SAHYOQ03,-0.691191,-3.3259819,41.1125422507982,14.3977832557904
SAHYOQ04,-0.6912026,-3.3266013,41.1154200169554,14.4112620682016
SAHYOQ05,-0.691154,-3.3259609,41.103041410312,14.397095617112
SAKRED,-0.7690072,-2.65539,32.1332336212703,14.0215911449847
SAMLAV02,-0.48217463,-2.1841319,26.5614436366764,13.9555366613465
SAMLAV03,-0.4804088,-2.0100677,25.4344976470968,13.7721267761279
SEFBOV,-0.77165294,-2.5897238,31.2627161639702,13.6054716908404
SEFSOM,-0.3114691,-0.9507227,17.4261863702053,8.22594063027384
SEHTEF,-1.010828,-2.828215,39.3761023431938,17.2645048090384
SENWAL,-0.71061647,-3.1479337,40.5055469270027,14.8298044920513
SENWIT,-0.72199434,-3.15916,41.2878884633358,14.8683708172442
SENWOZ,-0.71453226,-3.1300576,40.052645916469,14.9574108953317
SERJUV,-0.9493607,-1.1240399,24.6959947398801,21.3212000735848
